Value,Category
#ffe701 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#ffe607 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#ffe506 has 1402 warming points and 700 minimum,Hight Temperature (warm) 700
#23ff18 has 192 warming points and 700 minimum,Low Temperature (cold) 700
#1bff1f has 36 warming points and 700 minimum,Low Temperature (cold) 700
#14ff35 has 28 warming points and 700 minimum,Low Temperature (cold) 700
#290800 has 225 warming points and 700 minimum,Low Temperature (cold) 700
#07fffe has 8 warming points and 700 minimum,Low Temperature (cold) 700
#24c8ff has 50 warming points and 700 minimum,Low Temperature (cold) 700
#0031e4 has 0 warming points and 700 minimum,Low Temperature (cold) 700
#de1d00 has 1221 warming points and 700 minimum,Hight Temperature (warm) 700
#e01d00 has 1232 warming points and 700 minimum,Hight Temperature (warm) 700
#504500 has 440 warming points and 700 minimum,Low Temperature (cold) 700
